entry_id,company,role_summary,location_mode,tech_signals,comp_signal,source_comment_id,source_url,quality_flag,notes
PW6-001,Spiich Labs,"Founding GTM + Fullstack Engineer",Stockholm onsite,"TypeScript, Node, React, PostgreSQL, graph DB",unspecified,46857490,https://news.ycombinator.com/item?id=46857490,high,"Clear role, stack, and apply email present."
PW6-002,Goody,"Staff/Senior Full-stack Engineers + Data Analyst",Remote Americas,"Ruby, React, TypeScript, Python/Node acceptable",$150k-$250k (eng),46857491,https://news.ycombinator.com/item?id=46857491,high,"Compensation and role variants explicit."
PW6-003,FetLife,"Head of Engineering & Infrastructure + Senior DevOps",Remote,"Rails, Vue/TypeScript, Rust, Terraform, GCP, Kubernetes",$115k-$272k,46857494,https://news.ycombinator.com/item?id=46857494,high,"Multiple roles; direct application emails provided."
PW6-004,OpenSanctions,"Customer Engineer",Remote EU/Asia/Americas (no US) or hybrid Berlin,"APIs, JSON, Python preferred, Docker",€55k-€75k,46857501,https://news.ycombinator.com/item?id=46857501,high,"Strong relevance for API/data tooling profiles."
PW6-005,Areto Labs,"Lead Product Engineer",Remote Canada,"Python, GCP, Docker, Kubernetes",unspecified,47006572,https://news.ycombinator.com/item?id=47006572,high,"Clear hiring page and stack."
PW6-006,Herdify,"Python Developer/Software Engineer",Hybrid/onsite Bristol UK,"Python, backend, automation, web portals",unspecified,47004190,https://news.ycombinator.com/item?id=47004190,high,"Company + application link included."
PW6-007,Buildkite,"Senior Design Engineer (Web)",Remote (PT preferred),"Frontend/web platform",unspecified,47000819,https://news.ycombinator.com/item?id=47000819,high,"Direct Greenhouse link included."
PW6-008,Pepr AI,"MTS Full Stack / ML Optimization / Product (ML)",Onsite San Francisco,"Full-stack + ML optimization",$140k-$270k,46908134,https://news.ycombinator.com/item?id=46908134,medium,"Role URLs truncated in HN text; needs manual click verification."
PW6-009,Rad AI,"Infra / Platform / ML Infra / SWE",Onsite/hybrid preferred SF (remote available),"AWS, Kubernetes, Terraform, PostgreSQL, Python, PyTorch, Airflow",unspecified,46907530,https://news.ycombinator.com/item?id=46907530,high,"Strong infra/ML infra signal with careers URL."
PW6-010,Blue,"Founding Backend/Infra + iOS + EA",Remote,"Backend/infra + mobile",unspecified,46907390,https://news.ycombinator.com/item?id=46907390,high,"Clear apply route and founding-stage signal."
PW6-011,Duolingo,"Multiple engineering roles",Onsite NY/Pittsburgh,"TypeScript, Python, Kotlin, AWS, k8s, Terraform",$177k-$300k,46981832,https://news.ycombinator.com/item?id=46981832,high,"Compensation and links explicit."
PW6-012,Happy Returns (UPS),"Entry-level Full-stack Software Engineer",Remote US,"Go, TypeScript, React, PostgreSQL, AWS, Kubernetes, Docker",unspecified,46976827,https://news.ycombinator.com/item?id=46976827,high,"Good TS+Go signal; no visa sponsorship."
PW6-013,Vantheon,"Software Engineer",Austin onsite,"Node, TypeScript, React",unspecified,46991052,https://news.ycombinator.com/item?id=46991052,medium,"Application via email only; minimal role detail."
